id,name,library,license,style,sizes,tree_shakeable,default_color,best_for,url
187,Heroicons SparklesIcon,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"AI features;Magic;New;Highlights","https://heroicons.com"
188,Heroicons UserGroup,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Teams;Groups;Collaboration;Social","https://heroicons.com"
189,Heroicons WrenchScrewdriver,heroicons,MIT,outline+solid,"20;24",yes,currentColor,"Tools;Settings;Repair;Configuration","https://heroicons.com"
190,Tabler Activity,tabler-icons,MIT,line,"24",yes,currentColor,"Activity;Health;Heart rate;Monitoring","https://tabler-icons.io"
191,Tabler BrandGithub,tabler-icons,MIT,line,"24",yes,currentColor,"GitHub;Repository;Open source;Code","https://tabler-icons.io"
192,Tabler BrandSlack,tabler-icons,MIT,line,"24",yes,currentColor,"Slack;Team communication;Channels","https://tabler-icons.io"
193,Tabler Dashboard,tabler-icons,MIT,line,"24",yes,currentColor,"Dashboard;Overview;Admin panel;Metrics","https://tabler-icons.io"
194,Tabler DeviceLaptop,tabler-icons,MIT,line,"24",yes,currentColor,"Device;Laptop;Hardware;Computer","https://tabler-icons.io"
195,Tabler Rocket,tabler-icons,MIT,line,"24",yes,currentColor,"Launch;Startup;Deploy;Speed","https://tabler-icons.io"
196,Tabler ReportAnalytics,tabler-icons,MIT,line,"24",yes,currentColor,"Reports;Analytics;Business intelligence;Data","https://tabler-icons.io"
197,Tabler CurrencyBitcoin,tabler-icons,MIT,line,"24",yes,currentColor,"Crypto;Bitcoin;Blockchain;Fintech","https://tabler-icons.io"
198,Tabler Stethoscope,tabler-icons,MIT,line,"24",yes,currentColor,"Healthcare;Medical;Doctor;Diagnosis","https://tabler-icons.io"
199,Tabler ShoppingBag,tabler-icons,MIT,line,"24",yes,currentColor,"E-commerce;Shopping;Products;Retail","https://tabler-icons.io"
200,Tabler Certificate,tabler-icons,MIT,line,"24",yes,currentColor,"Certificates;Awards;Achievements;Credentials","https://tabler-icons.io"
