id,name,category,weights,style,mood,best_for,variable,url
155,Red Hat Display,sans-serif,"300;400;500;600;700;800;900",redhat-display,"professional;modern;display","Enterprise;Open source;Tech headings",yes,"https://fonts.google.com/specimen/Red+Hat+Display"
156,Red Hat Text,sans-serif,"300;400;500;600;700",redhat-text,"professional;readable;modern","Enterprise body text;Open source docs",yes,"https://fonts.google.com/specimen/Red+Hat+Text"
157,Commissioner,sans-serif,"100;200;300;400;500;600;700;800;900",variable-professional,"variable;professional;versatile","General purpose;Content sites;Product UI",yes,"https://fonts.google.com/specimen/Commissioner"
158,Epilogue,sans-serif,"100;200;300;400;500;600;700;800;900",editorial-modern,"editorial;modern;bold","Editorial;Agencies;Marketing;Headlines",yes,"https://fonts.google.com/specimen/Epilogue"
159,Josefin Sans,sans-serif,"100;200;300;400;500;600;700",art-deco-elegant,"art-deco;elegant;thin","Fashion;Luxury;Creative;Art deco revival",yes,"https://fonts.google.com/specimen/Josefin+Sans"
160,Raleway,sans-serif,"100;200;300;400;500;600;700;800;900",elegant-geometric,"elegant;geometric;thin","Fashion;Photography;Premium brands",yes,"https://fonts.google.com/specimen/Raleway"
161,Quicksand,sans-serif,"300;400;500;600;700",rounded-sand,"rounded;playful;geometric","Kids;Wellness;Consumer;Friendly apps",yes,"https://fonts.google.com/specimen/Quicksand"
162,Comfortaa,sans-serif,"300;400;500;600;700",ultra-round,"ultra-rounded;playful;soft","Kids;Casual;Consumer;Playful brands",yes,"https://fonts.google.com/specimen/Comfortaa"
163,Archivo,sans-serif,"100;200;300;400;500;600;700;800;900",strong-grotesk,"strong;grotesk;bold","Sports;Automotive;Bold headlines;Action",yes,"https://fonts.google.com/specimen/Archivo"
164,Archivo Narrow,sans-serif,"400;500;600;700",narrow-efficient,"narrow;efficient;compact","Data labels;Compact UI;Space-saving",yes,"https://fonts.google.com/specimen/Archivo+Narrow"
165,Archivo Black,sans-serif,"400",black-impact,"black;impact;bold","Impact headlines;Posters;Bold statements",no,"https://fonts.google.com/specimen/Archivo+Black"
166,Playfair Display,serif,"400;500;600;700;800;900",elegant-display,"elegant;dramatic;high-contrast","Luxury;Fashion;Editorial;Premium headings",yes,"https://fonts.google.com/specimen/Playfair+Display"
167,Poppins,sans-serif,"100;200;300;400;500;600;700;800;900",geometric-rounded,"rounded;geometric;friendly","Education;Consumer;Lifestyle;Marketing",no,"https://fonts.google.com/specimen/Poppins"
168,Nunito,sans-serif,"200;300;400;500;600;700;800;900",soft-round-sans,"soft;rounded;approachable","Kids;Education;Wellness;Friendly UI",yes,"https://fonts.google.com/specimen/Nunito"
169,Rubik,sans-serif,"300;400;500;600;700;800;900",geometric-cube,"geometric;playful;modern","Consumer apps;Games;Education",yes,"https://fonts.google.com/specimen/Rubik"
170,Work Sans,sans-serif,"100;200;300;400;500;600;700;800;900",work-grotesk,"practical;grotesk;readable","SaaS;Enterprise;Content-heavy sites",yes,"https://fonts.google.com/specimen/Work+Sans"
171,Lexend,sans-serif,"100;200;300;400;500;600;700;800;900",readability-system,"accessible;readable;optimized","Accessibility;Education;Government",yes,"https://fonts.google.com/specimen/Lexend"
172,Montserrat,sans-serif,"100;200;300;400;500;600;700;800;900",geometric-mont,"geometric;versatile;classic","General purpose;Corporate;Marketing",yes,"https://fonts.google.com/specimen/Montserrat"
173,Montserrat Alternates,sans-serif,"100;200;300;400;500;600;700;800;900",alternate-mont,"geometric;distinctive;modern","Branding;Creative;Distinctive headings",yes,"https://fonts.google.com/specimen/Montserrat+Alternates"
174,Oswald,sans-serif,"200;300;400;500;600;700",condensed-impact,"condensed;impact;bold","Fashion;Sports;Headlines;Bold statements",yes,"https://fonts.google.com/specimen/Oswald"
175,Bebas Neue,sans-serif,"400",impact-uppercase,"impact;uppercase;dramatic","Headlines;Posters;Fashion;Brutalist design",no,"https://fonts.google.com/specimen/Bebas+Neue"
176,Inter Tight,sans-serif,"100;200;300;400;500;600;700;800;900",tight-ui,"compact;tight;efficient","Compact UI;Data-dense;Dashboard labels",yes,"https://fonts.google.com/specimen/Inter+Tight"
177,Inter,sans-serif,"100;200;300;400;500;600;700;800;900",standard-ui,"clean;professional;universal","UI design;SaaS;Dashboards;Body text",yes,"https://fonts.google.com/specimen/Inter"
178,Barlow,sans-serif,"100;200;300;400;500;600;700;800;900",industrial-barlow,"industrial;readable;government","Government;Transportation;Industrial",yes,"https://fonts.google.com/specimen/Barlow"
179,Atkinson Hyperlegible,sans-serif,"400;700",hyperlegible-original,"accessible;clear;legible","Accessibility;Low vision;Government;Senior",no,"https://fonts.google.com/specimen/Atkinson+Hyperlegible"
180,Noto Sans,sans-serif,"100;200;300;400;500;600;700;800;900",universal-sans,"universal;multilingual;clean","International;Government;Multilingual apps",yes,"https://fonts.google.com/specimen/Noto+Sans"
181,Noto Serif,serif,"100;200;300;400;500;600;700;800;900",universal-serif,"universal;multilingual;classic","International editorial;Multilingual publishing",yes,"https://fonts.google.com/specimen/Noto+Serif"
182,Source Serif 4,serif,"200;300;400;500;600;700;800;900",adobe-editorial,"editorial;classic;readable","Publishing;News;Long-form editorial",yes,"https://fonts.google.com/specimen/Source+Serif+4"
183,Merriweather,serif,"300;400;700;900",readable-serif,"traditional;readable;warm","News;Legal;Government;Body text",no,"https://fonts.google.com/specimen/Merriweather"
184,Libre Baskerville,serif,"400;700",web-baskerville,"traditional;refined;elegant","Legal;Academic;Classic web typography",no,"https://fonts.google.com/specimen/Libre+Baskerville"
185,Bitter,serif,"100;200;300;400;500;600;700;800;900",sturdy-web-serif,"sturdy;readable;warm","Content sites;News;Blogs;Body text",yes,"https://fonts.google.com/specimen/Bitter"
186,Literata,serif,"200;300;400;500;600;700;800;900",reading-optimized,"reading;optimized;google-books","E-readers;Reading apps;Long-form text",yes,"https://fonts.google.com/specimen/Literata"
187,Merriweather Sans,sans-serif,"300;400;500;600;700;800",merriweather-sans,"readable;paired;warm","Body text paired with Merriweather;News sites",yes,"https://fonts.google.com/specimen/Merriweather+Sans"
188,Quattrocento Sans,sans-serif,"400;700",classical-sans-pair,"classical;readable;paired","Paired with Quattrocento serif;Classical sites",no,"https://fonts.google.com/specimen/Quattrocento+Sans"
189,Quattrocento,serif,"400;700",classical-text,"classical;traditional;readable","Traditional editorial;Classical branding",no,"https://fonts.google.com/specimen/Quattrocento"
190,Chivo,sans-serif,"100;200;300;400;500;600;700;800;900",grotesk-versatile,"grotesk;versatile;modern","Headlines;Marketing;Modern branding",yes,"https://fonts.google.com/specimen/Chivo"
191,Chivo Mono,monospace,"100;200;300;400;500;600;700;800;900",chivo-code,"modern;monospace;versatile","Code display;Technical docs;Developer UI",yes,"https://fonts.google.com/specimen/Chivo+Mono"
192,Anek Latin,sans-serif,"100;200;300;400;500;600;700;800",indic-modern,"modern;indic;versatile","Indian market;Multilingual;Modern branding",yes,"https://fonts.google.com/specimen/Anek+Latin"
193,Azeret Mono,monospace,"100;200;300;400;500;600;700;800;900",modern-technical-mono,"modern;technical;clean","Modern code display;Developer tools;Tech UI",yes,"https://fonts.google.com/specimen/Azeret+Mono"
194,Martian Mono,monospace,"100;200;300;400;500;600;700;800",wide-mono,"wide;modern;distinctive","Terminal;Dashboard numbers;Technical display",yes,"https://fonts.google.com/specimen/Martian+Mono"
195,Fragment Mono,monospace,"400",designer-mono,"design;distinctive;editorial","Design portfolios;Creative code display",no,"https://fonts.google.com/specimen/Fragment+Mono"
196,Darker Grotesque,sans-serif,"300;400;500;600;700;800;900",dark-grotesk,"dark;condensed;modern","Dark themes;Fashion;Edgy branding",yes,"https://fonts.google.com/specimen/Darker+Grotesque"
197,Saira,sans-serif,"100;200;300;400;500;600;700;800;900",motorsport-modern,"motorsport;geometric;modern","Sports;Racing;Automotive;Competition",yes,"https://fonts.google.com/specimen/Saira"
198,Saira Condensed,sans-serif,"100;200;300;400;500;600;700;800;900",condensed-sport,"condensed;sport;efficient","Scoreboards;Racing stats;Sports data",yes,"https://fonts.google.com/specimen/Saira+Condensed"
199,BioRhyme,serif,"200;300;400;500;600;700;800",bio-slab,"slab;retro;distinctive","Retro branding;Creative;Distinctive headings",yes,"https://fonts.google.com/specimen/BioRhyme"
200,Anybody,sans-serif,"100;200;300;400;500;600;700;800;900",ultra-variable-display,"ultra-variable;display;experimental","Experimental design;Variable font showcase;Creative",yes,"https://fonts.google.com/specimen/Anybody"
